Powiaty,Rok,Ranni,Wypadki ogółem,Ofiary śmiertelne
powiat giżycki,2013.0,84.0,66.0,10.0
powiat giżycki,2014.0,65.0,56.0,4.0
powiat giżycki,2015.0,59.0,52.0,10.0
powiat giżycki,2016.0,54.0,41.0,7.0
powiat giżycki,2017.0,37.0,34.0,3.0
powiat giżycki,2018.0,39.0,32.0,4.0
powiat giżycki,2019.0,42.0,41.0,4.0
powiat giżycki,2020.0,38.0,34.0,3.0
powiat giżycki,2021.0,46.0,38.0,2.0
powiat giżycki,2022.0,45.0,46.0,6.0
powiat mrągowski,2011.0,123.0,89.0,3.0
powiat mrągowski,2012.0,118.0,78.0,11.0
powiat mrągowski,2013.0,102.0,91.0,11.0
powiat mrągowski,2014.0,132.0,89.0,8.0
powiat mrągowski,2015.0,84.0,64.0,4.0
powiat mrągowski,2016.0,103.0,84.0,7.0
powiat mrągowski,2017.0,56.0,48.0,5.0
powiat mrągowski,2018.0,29.0,27.0,5.0
powiat mrągowski,2019.0,40.0,33.0,2.0
powiat mrągowski,2020.0,32.0,33.0,5.0
powiat mrągowski,2021.0,44.0,41.0,4.0
powiat mrągowski,2022.0,41.0,36.0,4.0
powiat głogowski,2011.0,56.0,50.0,4.0
powiat głogowski,2012.0,74.0,64.0,7.0
powiat głogowski,2013.0,77.0,65.0,4.0
powiat głogowski,2014.0,83.0,58.0,6.0
powiat głogowski,2015.0,111.0,54.0,0.0
powiat głogowski,2016.0,76.0,53.0,9.0
powiat głogowski,2017.0,73.0,47.0,5.0
powiat głogowski,2018.0,64.0,44.0,5.0
powiat głogowski,2019.0,48.0,37.0,3.0
powiat głogowski,2020.0,41.0,35.0,4.0
powiat głogowski,2021.0,29.0,26.0,3.0
powiat głogowski,2022.0,53.0,51.0,5.0
powiat choszczeński,2011.0,50.0,44.0,3.0
powiat choszczeński,2012.0,64.0,48.0,3.0
powiat choszczeński,2013.0,59.0,41.0,3.0
powiat choszczeński,2014.0,41.0,32.0,7.0
powiat choszczeński,2015.0,16.0,21.0,8.0
powiat choszczeński,2016.0,43.0,35.0,10.0
powiat choszczeński,2017.0,21.0,18.0,3.0
powiat choszczeński,2018.0,29.0,22.0,2.0
powiat choszczeński,2019.0,45.0,37.0,6.0
powiat choszczeński,2020.0,23.0,22.0,1.0
powiat choszczeński,2021.0,43.0,36.0,6.0
powiat choszczeński,2022.0,21.0,19.0,1.0
powiat Sosnowiec,2011.0,230.0,198.0,9.0
powiat Sosnowiec,2012.0,216.0,188.0,5.0
powiat Sosnowiec,2013.0,251.0,204.0,6.0
powiat Sosnowiec,2014.0,245.0,200.0,5.0
powiat Sosnowiec,2015.0,226.0,185.0,3.0
powiat Sosnowiec,2016.0,226.0,199.0,8.0
powiat Sosnowiec,2017.0,219.0,190.0,12.0
powiat Sosnowiec,2018.0,181.0,162.0,6.0
powiat Sosnowiec,2019.0,173.0,140.0,6.0
powiat Sosnowiec,2020.0,115.0,102.0,5.0
powiat Sosnowiec,2021.0,98.0,89.0,2.0
powiat Sosnowiec,2022.0,99.0,92.0,3.0
powiat rybnicki,2011.0,60.0,50.0,2.0
powiat rybnicki,2012.0,52.0,44.0,2.0
powiat rybnicki,2013.0,46.0,39.0,2.0
powiat rybnicki,2014.0,39.0,34.0,4.0
powiat rybnicki,2015.0,37.0,32.0,3.0
powiat rybnicki,2016.0,50.0,44.0,3.0
powiat rybnicki,2017.0,43.0,36.0,2.0
powiat rybnicki,2018.0,45.0,42.0,7.0
powiat rybnicki,2019.0,36.0,33.0,3.0
powiat rybnicki,2020.0,32.0,23.0,1.0
powiat rybnicki,2021.0,43.0,38.0,4.0
powiat rybnicki,2022.0,36.0,33.0,1.0
powiat Gliwice,2011.0,314.0,256.0,16.0
powiat Gliwice,2012.0,270.0,221.0,14.0
