,,,,Number of victims of intentional homicides,,,,,,,,,,,,,,,,,,,,,,"Rates of intentional homicides per 100,000",,,,,,,,,,,,,,,,,,,,,
Europe,Southern Europe,Holy See,CTS/SDG,,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,0.00,0.00,0.00
Americas,Latin America and the Caribbean,Honduras,RSC/Interpol/OCAVI/NSO/CTS,3176,3488,3623,4073,3639,3212,6236,7176,8910,10560,12472,20709,25837,47626,45332,41972,46469,22866,39507,38512,33738,36569,47.71,51.01,51.61,56.55,49.29,42.46,119.99,134.99,163.88,190.10,219.88,975.41,944.34,1861.81,1813.15,1769.25,1748.39,317.07,1394.43,1425.79,1203.88,1259.43
Europe,Eastern Europe,Hungary,UNSDC/CTS/MD,410,508,406,662,613,872,880,831,1098,1040,1153,1124,850,1934,1945,442,1399,1536,791,799,948,700,6.07,7.58,6.04,8.85,8.19,22.51,22.64,20.74,48.30,40.52,65.87,63.66,32.15,91.83,82.18,6.76,39.69,57.57,27.59,29.37,31.67,18.16
Europe,Northern Europe,Iceland,CTS/SDG/GSH 2023 Revision/Eurostat/MD/External/SDG/UNSDC,5,1,4,1,,6,0,5,0,2,17,30,12,13,19,40,14,34,33,12,61,21,1.78,0.35,1.39,0.35,,3.02,0.00,2.22,0.00,0.93,12.78,28.07,7.82,14.82,33.23,30.04,10.53,46.15,24.29,8.87,58.53,11.57
Asia,Southern Asia,India,CTS/NCRB India/Mol,96334,92840,91472,88662,115223,111188,112379,111321,177134,164176,157969,165512,173294,166364,94712,88746,105433,103221,101585,98453,93945,93569,13.53,12.81,12.40,11.82,14.15,13.46,13.35,13.11,68.48,59.61,57.85,61.61,64.21,63.87,10.82,10.02,11.01,10.63,10.39,10.02,9.61,9.56
Asia,South-eastern Asia,Indonesia,UNSDC/Interpol/CTS,2204,,,1635,1419,,,,,,,,,,,,,,,,,869,1.03,,,0.73,0.63,,,,,,,,,,,,,,,,,0.32
Asia,Southern Asia,Iran (Islamic Republic of),NSO/MD/WHO,,,,,,,,,,2215,,,,7008,6640,2451,,,,,,,,,,,,,,,,2.98,,,,11.47,10.67,3.00,,,,,,
Asia,Western Asia,Iraq,UNSDC/Computed,,,,,,,,,9192.00000000001,5108,5382,5268,5394,6678,,,,,,,,,,,,,,,,,47.32,25.32,25.88,24.45,23.93,28.27,,,,,,,,
Asia,Western Asia,Iraq (Central Iraq),CTS,,,,,,,,,10581,8640,8618,8784,8786,10344,7999,,,,44204,51190,53346,70022,,,,,,,,,59.90,42.59,41.56,40.59,39.07,44.47,34.88,,,,200.61,226.42,229.96,294.17
Asia,Western Asia,Iraq (Kurdistan Region),Computed,,,,,,,,,288,192,276,232,206,222,,,,,,,,,,,,,,,,,10.63,6.85,9.55,7.74,6.57,6.76,,,,,,,,
